Time(s),CH1V,CH2V,CH3V,CH4V
-2.500000e-07,2.026667e-02,1.326667e-02,-3.013333e-03,6.666667e-06
-2.495000e-07,1.960000e-02,1.033333e-02,-1.120000e-03,-1.800000e-04
-2.490000e-07,1.680000e-02,9.933334e-03,3.200000e-04,-6.666667e-05
-2.485000e-07,1.333333e-02,1.146667e-02,1.066667e-03,2.333333e-04
-2.480000e-07,1.100000e-02,1.366667e-02,1.013333e-03,5.533333e-04
-2.475000e-07,1.013333e-02,1.580000e-02,4.266667e-04,7.666667e-04
-2.470000e-07,1.073333e-02,1.720000e-02,-3.733333e-04,8.133333e-04
-2.465000e-07,1.153333e-02,1.800000e-02,-1.066667e-03,7.066667e-04
-2.460000e-07,1.233333e-02,1.873333e-02,-1.173333e-03,5.933333e-04
-2.455000e-07,1.333333e-02,1.993333e-02,-7.200000e-04,5.533333e-04
-2.450000e-07,1.460000e-02,2.160000e-02,2.666667e-05,6.266666e-04
-2.445000e-07,1.693333e-02,2.300000e-02,5.600000e-04,7.266667e-04
-2.440000e-07,2.053333e-02,2.300000e-02,6.666667e-04,7.933333e-04
-2.435000e-07,2.480000e-02,2.173333e-02,8.000000e-05,7.666667e-04
-2.430000e-07,2.773333e-02,1.966667e-02,-1.226667e-03,6.533333e-04
-2.425000e-07,2.773333e-02,1.760000e-02,-3.013333e-03,5.200000e-04
-2.420000e-07,2.413333e-02,1.660000e-02,-4.800000e-03,4.333333e-04
-2.415000e-07,1.793333e-02,1.800000e-02,-6.133333e-03,4.933333e-04
-2.410000e-07,1.086667e-02,2.093333e-02,-6.533333e-03,6.533333e-04
-2.405000e-07,5.600000e-03,2.386667e-02,-5.733334e-03,8.400000e-04
-2.400000e-07,3.933333e-03,2.513333e-02,-3.760000e-03,9.133333e-04
-2.395000e-07,6.266667e-03,2.386667e-02,-1.173333e-03,8.533333e-04
-2.390000e-07,1.100000e-02,2.080000e-02,9.066667e-04,6.533333e-04
-2.385000e-07,1.566667e-02,1.720000e-02,1.520000e-03,3.800000e-04
-2.380000e-07,1.873333e-02,1.553333e-02,2.666667e-04,1.600000e-04
-2.375000e-07,1.913333e-02,1.720000e-02,-2.506667e-03,9.333334e-05
-2.370000e-07,1.693333e-02,2.193333e-02,-5.893333e-03,1.800000e-04
-2.365000e-07,1.360000e-02,2.706667e-02,-8.666666e-03,3.333333e-04
-2.360000e-07,1.053333e-02,3.013333e-02,-9.760000e-03,4.333333e-04
-2.355000e-07,8.600000e-03,2.966667e-02,-8.906666e-03,4.200000e-04
-2.350000e-07,7.666667e-03,2.580000e-02,-6.720000e-03,3.333333e-04
-2.345000e-07,7.400000e-03,2.066667e-02,-4.186667e-03,2.666667e-04
-2.340000e-07,7.666667e-03,1.733333e-02,-2.106667e-03,3.200000e-04
-2.335000e-07,8.333334e-03,1.786667e-02,-1.173333e-03,6.266666e-04
-2.330000e-07,9.600000e-03,2.246667e-02,-1.413333e-03,1.066667e-03
-2.325000e-07,1.166667e-02,2.860000e-02,-2.453333e-03,1.486667e-03
-2.320000e-07,1.473333e-02,3.286667e-02,-3.600000e-03,1.646667e-03
-2.315000e-07,1.833333e-02,3.346667e-02,-4.293333e-03,1.460000e-03
-2.310000e-07,2.106667e-02,2.966667e-02,-4.240000e-03,9.666667e-04
-2.305000e-07,2.220000e-02,2.326667e-02,-3.360000e-03,4.066667e-04
-2.300000e-07,2.120000e-02,1.706667e-02,-1.573333e-03,3.333333e-05
-2.295000e-07,1.900000e-02,1.340000e-02,5.066667e-04,4.666667e-05
-2.290000e-07,1.640000e-02,1.340000e-02,2.293333e-03,4.200000e-04
-2.285000e-07,1.513333e-02,1.566667e-02,3.040000e-03,9.533333e-04
-2.280000e-07,1.613333e-02,1.826667e-02,2.560000e-03,1.313333e-03
-2.275000e-07,1.873333e-02,1.993333e-02,1.066667e-03,1.326667e-03
-2.270000e-07,2.140000e-02,2.006667e-02,-1.066667e-03,1.000000e-03
-2.265000e-07,2.180000e-02,1.926667e-02,-2.906667e-03,5.066667e-04
