Time(s),CH1V,CH2V,CH3V,CH4V
-2.125000e-07,2.620000e-02,1.620000e-02,1.013333e-03,9.400000e-04
-2.120000e-07,2.440000e-02,2.413333e-02,6.133333e-04,1.066667e-03
-2.115000e-07,1.626667e-02,3.346667e-02,-5.093333e-03,1.186667e-03
-2.110000e-07,1.280000e-02,3.606667e-02,-8.506667e-03,1.200000e-03
-2.105000e-07,1.760000e-02,3.620000e-02,-5.733334e-03,1.400000e-03
-2.100000e-07,2.346667e-02,3.513333e-02,-2.666667e-05,1.660000e-03
-2.095000e-07,2.286667e-02,2.926667e-02,4.293333e-03,1.400000e-03
-2.090000e-07,1.593333e-02,2.053333e-02,5.680000e-03,6.266666e-04
-2.085000e-07,8.933334e-03,1.566667e-02,4.346667e-03,-5.333333e-05
-2.080000e-07,8.600000e-03,1.673333e-02,1.706667e-03,-2.133333e-04
-2.075000e-07,1.306667e-02,2.020000e-02,-5.333333e-04,6.000000e-05
-2.070000e-07,1.433333e-02,2.606667e-02,-1.226667e-03,5.533333e-04
-2.065000e-07,1.166667e-02,3.580000e-02,-6.133333e-04,1.040000e-03
-2.060000e-07,1.180000e-02,4.193334e-02,3.733333e-04,1.300000e-03
-2.055000e-07,1.553333e-02,3.333334e-02,2.106667e-03,1.140000e-03
-2.050000e-07,1.640000e-02,1.786667e-02,5.040000e-03,7.933333e-04
-2.045000e-07,1.233333e-02,1.453333e-02,5.680000e-03,6.666667e-04
-2.040000e-07,8.466667e-03,2.273333e-02,-1.333333e-04,8.266667e-04
-2.035000e-07,9.066666e-03,2.426667e-02,-7.520000e-03,1.013333e-03
-2.030000e-07,1.373333e-02,1.786667e-02,-6.773334e-03,1.260000e-03
-2.025000e-07,1.973333e-02,2.040000e-02,1.600000e-04,1.786667e-03
-2.020000e-07,2.373333e-02,3.233333e-02,1.946667e-03,2.193333e-03
-2.015000e-07,2.320000e-02,3.633333e-02,-2.506667e-03,1.686667e-03
-2.010000e-07,1.806667e-02,2.720000e-02,-3.360000e-03,3.933333e-04
-2.005000e-07,1.153333e-02,1.786667e-02,9.066667e-04,-6.733334e-04
-2.000000e-07,7.066667e-03,1.733333e-02,1.653333e-03,-8.733333e-04
-1.995000e-07,6.266667e-03,2.246667e-02,-3.013333e-03,-4.000000e-04
-1.990000e-07,7.400000e-03,2.940000e-02,-6.240000e-03,3.800000e-04
-1.985000e-07,9.600000e-03,3.593333e-02,-5.626667e-03,1.186667e-03
-1.980000e-07,1.280000e-02,3.860000e-02,-5.333333e-03,1.486667e-03
-1.975000e-07,1.580000e-02,3.440000e-02,-5.626667e-03,8.400000e-04
-1.970000e-07,1.693333e-02,2.693333e-02,-3.013333e-03,-1.800000e-04
-1.965000e-07,1.666667e-02,2.260000e-02,-2.666667e-05,-4.533333e-04
-1.960000e-07,1.680000e-02,2.513333e-02,-2.960000e-03,2.333333e-04
-1.955000e-07,1.720000e-02,3.206667e-02,-9.360000e-03,1.086667e-03
-1.950000e-07,1.553333e-02,3.773334e-02,-9.893334e-03,1.620000e-03
-1.945000e-07,1.333333e-02,3.746667e-02,-2.560000e-03,2.046667e-03
-1.940000e-07,1.446667e-02,3.193333e-02,4.986667e-03,2.180000e-03
-1.935000e-07,1.886667e-02,2.526667e-02,6.906667e-03,1.513333e-03
-1.930000e-07,2.246667e-02,2.120000e-02,3.946667e-03,3.333333e-04
-1.925000e-07,2.273333e-02,2.066667e-02,-9.600000e-04,-3.533333e-04
-1.920000e-07,2.120000e-02,2.053333e-02,-5.386667e-03,-2.666667e-04
-1.915000e-07,1.706667e-02,1.826667e-02,-6.533333e-03,3.333333e-05
-1.910000e-07,9.066666e-03,1.900000e-02,-2.906667e-03,3.933333e-04
-1.905000e-07,4.333334e-03,2.900000e-02,2.000000e-03,1.053333e-03
-1.900000e-07,1.206667e-02,4.180000e-02,2.853333e-03,1.486667e-03
-1.895000e-07,2.440000e-02,4.193334e-02,4.266667e-04,7.400000e-04
-1.890000e-07,2.440000e-02,2.940000e-02,1.600000e-04,-5.266666e-04
-1.885000e-07,1.193333e-02,1.853333e-02,1.813333e-03,-6.866666e-04
-1.880000e-07,4.466667e-03,1.826667e-02,3.733333e-04,3.333333e-04
-1.875000e-07,9.200000e-03,2.340000e-02,-3.760000e-03,1.040000e-03
-1.870000e-07,1.666667e-02,2.860000e-02,-4.293333e-03,8.533333e-04
-1.865000e-07,1.913333e-02,3.233333e-02,-3.200000e-04,6.400000e-04
-1.860000e-07,1.820000e-02,3.426667e-02,2.800000e-03,8.266667e-04
-1.855000e-07,1.693333e-02,3.273333e-02,2.453333e-03,9.400000e-04
-1.850000e-07,1.653333e-02,2.800000e-02,1.013333e-03,7.666667e-04
-1.845000e-07,1.513333e-02,2.233333e-02,-1.866667e-04,6.533333e-04
-1.840000e-07,1.086667e-02,1.913333e-02,-2.213333e-03,6.400000e-04
-1.835000e-07,8.200000e-03,2.120000e-02,-4.640000e-03,4.800000e-04
-1.830000e-07,1.386667e-02,2.786667e-02,-5.200000e-03,3.666667e-04
-1.825000e-07,2.346667e-02,3.486667e-02,-3.600000e-03,6.800000e-04
-1.820000e-07,2.466667e-02,3.633333e-02,-1.280000e-03,1.173333e-03
-1.815000e-07,1.793333e-02,2.980000e-02,1.173333e-03,1.173333e-03
-1.810000e-07,1.526667e-02,2.020000e-02,4.133333e-03,5.666667e-04
-1.805000e-07,1.986667e-02,1.646667e-02,6.480000e-03,-1.333333e-05
-1.800000e-07,2.286667e-02,1.966667e-02,6.133333e-03,6.666667e-06
-1.795000e-07,1.900000e-02,2.326667e-02,2.640000e-03,5.533333e-04
-1.790000e-07,1.193333e-02,2.606667e-02,-1.920000e-03,1.200000e-03
-1.785000e-07,7.800000e-03,3.166667e-02,-5.040000e-03,1.413333e-03
-1.780000e-07,9.066666e-03,3.720000e-02,-5.626667e-03,1.086667e-03
-1.775000e-07,1.266667e-02,3.500000e-02,-3.413333e-03,5.200000e-04
-1.770000e-07,1.280000e-02,2.593333e-02,5.066667e-04,2.066667e-04
-1.765000e-07,9.200000e-03,1.913333e-02,2.986667e-03,3.666667e-04
-1.760000e-07,7.266667e-03,1.966667e-02,1.173333e-03,7.666667e-04
-1.755000e-07,8.733333e-03,2.413333e-02,-2.160000e-03,1.013333e-03
-1.750000e-07,1.086667e-02,2.873333e-02,-1.413333e-03,1.126667e-03
-1.745000e-07,1.180000e-02,3.206667e-02,1.866667e-03,1.486667e-03
-1.740000e-07,1.280000e-02,3.333334e-02,9.600000e-04,1.980000e-03
-1.735000e-07,1.513333e-02,3.166667e-02,-2.320000e-03,1.993333e-03
-1.730000e-07,1.806667e-02,2.706667e-02,2.666667e-04,1.200000e-03
-1.725000e-07,1.886667e-02,2.080000e-02,5.786667e-03,-6.666667e-05
-1.720000e-07,1.566667e-02,1.733333e-02,3.093333e-03,-9.200000e-04
-1.715000e-07,1.166667e-02,2.133333e-02,-5.546667e-03,-6.266666e-04
-1.710000e-07,1.193333e-02,3.026667e-02,-6.480000e-03,4.933333e-04
-1.705000e-07,1.553333e-02,3.606667e-02,7.200000e-04,1.400000e-03
