Time(s),CH1V,CH2V,CH3V,CH4V
-2.500000e-07,1.113333e-02,3.566667e-02,2.453333e-03,1.833333e-03
-2.495000e-07,1.626667e-02,3.346667e-02,1.120000e-03,1.300000e-03
-2.490000e-07,2.066667e-02,2.340000e-02,1.120000e-03,6.066667e-04
-2.485000e-07,1.960000e-02,2.080000e-02,2.506667e-03,1.933333e-04
-2.480000e-07,1.253333e-02,2.606667e-02,7.200000e-04,2.200000e-04
-2.475000e-07,5.466667e-03,2.606667e-02,-2.506667e-03,4.933333e-04
-2.470000e-07,5.866667e-03,2.193333e-02,-7.733333e-04,7.533333e-04
-2.465000e-07,1.306667e-02,2.706667e-02,4.933333e-03,8.266667e-04
-2.460000e-07,1.900000e-02,3.800000e-02,7.013333e-03,8.133333e-04
-2.455000e-07,2.106667e-02,3.653333e-02,4.933333e-03,8.266667e-04
-2.450000e-07,2.360000e-02,2.260000e-02,5.120000e-03,7.800000e-04
-2.445000e-07,2.500000e-02,1.566667e-02,7.306667e-03,5.400000e-04
-2.440000e-07,1.960000e-02,2.080000e-02,4.586667e-03,2.466667e-04
-2.435000e-07,1.086667e-02,2.553333e-02,-1.360000e-03,3.333333e-04
-2.430000e-07,9.466667e-03,2.593333e-02,-1.466667e-03,9.133333e-04
-2.425000e-07,1.486667e-02,3.040000e-02,3.440000e-03,1.586667e-03
-2.420000e-07,1.666667e-02,3.760000e-02,3.600000e-03,1.960000e-03
-2.415000e-07,1.373333e-02,3.620000e-02,-1.333333e-04,1.820000e-03
-2.410000e-07,1.446667e-02,2.680000e-02,1.946667e-03,1.153333e-03
-2.405000e-07,1.806667e-02,2.120000e-02,7.653333e-03,2.200000e-04
-2.400000e-07,1.526667e-02,2.400000e-02,4.773333e-03,-4.133333e-04
-2.395000e-07,7.533333e-03,2.773333e-02,-4.933333e-03,-3.000000e-04
-2.390000e-07,6.133333e-03,3.000000e-02,-7.013333e-03,4.200000e-04
-2.385000e-07,1.253333e-02,3.413333e-02,7.733333e-04,1.126667e-03
-2.380000e-07,1.693333e-02,3.733333e-02,6.213333e-03,1.400000e-03
-2.375000e-07,1.513333e-02,3.260000e-02,4.080000e-03,1.286667e-03
-2.370000e-07,1.180000e-02,2.220000e-02,9.600000e-04,9.266667e-04
-2.365000e-07,1.140000e-02,1.706667e-02,1.520000e-03,4.533333e-04
-2.360000e-07,1.333333e-02,2.120000e-02,3.493333e-03,2.000000e-05
-2.355000e-07,1.413333e-02,2.900000e-02,3.386667e-03,-1.400000e-04
-2.350000e-07,1.180000e-02,3.553334e-02,2.666667e-04,2.666667e-04
-2.345000e-07,9.333333e-03,4.066667e-02,-4.533333e-03,1.213333e-03
-2.340000e-07,1.233333e-02,4.120000e-02,-8.026667e-03,2.180000e-03
-2.335000e-07,2.000000e-02,3.360000e-02,-7.813334e-03,2.406667e-03
-2.330000e-07,2.500000e-02,2.273333e-02,-3.893333e-03,1.646667e-03
-2.325000e-07,2.093333e-02,1.886667e-02,1.600000e-04,4.200000e-04
-2.320000e-07,9.200000e-03,2.326667e-02,3.200000e-04,-3.533333e-04
-2.315000e-07,-1.333333e-04,2.846667e-02,-1.973333e-03,-5.333333e-05
-2.310000e-07,3.466667e-03,3.180000e-02,-1.973333e-03,9.533333e-04
-2.305000e-07,1.500000e-02,3.693333e-02,3.200000e-04,1.633333e-03
-2.300000e-07,1.960000e-02,4.140000e-02,2.133333e-04,1.573333e-03
-2.295000e-07,1.413333e-02,3.733333e-02,-2.320000e-03,1.173333e-03
-2.290000e-07,9.466667e-03,2.633333e-02,-2.506667e-03,7.266667e-04
-2.285000e-07,1.040000e-02,1.913333e-02,-1.333333e-04,1.800000e-04
-2.280000e-07,1.086667e-02,1.886667e-02,-2.666667e-04,-1.800000e-04
-2.275000e-07,8.466667e-03,2.020000e-02,-3.013333e-03,1.600000e-04
-2.270000e-07,7.933334e-03,2.386667e-02,-3.653333e-03,1.026667e-03
-2.265000e-07,1.113333e-02,3.466667e-02,-1.066667e-03,1.586667e-03
-2.260000e-07,1.513333e-02,4.500000e-02,1.120000e-03,1.533333e-03
-2.255000e-07,1.793333e-02,4.053333e-02,1.120000e-03,1.213333e-03
-2.250000e-07,1.960000e-02,2.413333e-02,5.600000e-04,8.400000e-04
-2.245000e-07,1.960000e-02,1.400000e-02,4.266667e-04,2.933333e-04
-2.240000e-07,1.760000e-02,1.813333e-02,-2.666667e-05,-2.666667e-05
-2.235000e-07,1.553333e-02,2.746667e-02,-1.280000e-03,4.933333e-04
-2.230000e-07,1.640000e-02,3.466667e-02,-2.560000e-03,1.546667e-03
