Time(s),CH1V,CH2V,CH3V,CH4V
-2.500000e-07,1.140000e-02,1.493333e-02,-2.853333e-03,1.466667e-04
-2.495000e-07,9.333333e-03,1.520000e-02,-2.160000e-03,3.800000e-04
-2.490000e-07,6.933333e-03,1.746667e-02,-1.280000e-03,9.000000e-04
-2.485000e-07,5.266667e-03,2.006667e-02,-5.333333e-04,1.473333e-03
-2.480000e-07,5.866667e-03,2.146667e-02,-8.000000e-05,1.820000e-03
-2.475000e-07,8.333334e-03,2.093333e-02,-1.333333e-04,1.733333e-03
-2.470000e-07,1.166667e-02,1.840000e-02,-7.733333e-04,1.240000e-03
-2.465000e-07,1.446667e-02,1.520000e-02,-1.920000e-03,5.933333e-04
-2.460000e-07,1.566667e-02,1.353333e-02,-3.200000e-03,9.333334e-05
-2.455000e-07,1.526667e-02,1.466667e-02,-4.240000e-03,-1.333333e-05
-2.450000e-07,1.346667e-02,1.853333e-02,-4.880000e-03,2.933333e-04
-2.445000e-07,1.153333e-02,2.340000e-02,-4.746667e-03,7.666667e-04
-2.440000e-07,1.040000e-02,2.720000e-02,-3.893333e-03,1.100000e-03
-2.435000e-07,1.053333e-02,2.846667e-02,-2.453333e-03,1.066667e-03
-2.430000e-07,1.113333e-02,2.720000e-02,-1.120000e-03,6.933333e-04
-2.425000e-07,1.113333e-02,2.440000e-02,-3.733333e-04,1.333333e-04
-2.420000e-07,1.040000e-02,2.193333e-02,-3.733333e-04,-2.866667e-04
-2.415000e-07,9.333333e-03,2.160000e-02,-1.226667e-03,-3.266667e-04
-2.410000e-07,8.600000e-03,2.340000e-02,-2.560000e-03,6.666667e-06
-2.405000e-07,9.466667e-03,2.620000e-02,-3.946667e-03,5.200000e-04
-2.400000e-07,1.266667e-02,2.800000e-02,-4.693334e-03,9.266667e-04
-2.395000e-07,1.720000e-02,2.773333e-02,-4.800000e-03,1.026667e-03
-2.390000e-07,2.093333e-02,2.553333e-02,-4.453333e-03,7.666667e-04
-2.385000e-07,2.180000e-02,2.233333e-02,-4.106666e-03,3.333333e-04
-2.380000e-07,1.886667e-02,1.966667e-02,-3.840000e-03,-4.000000e-05
-2.375000e-07,1.280000e-02,1.940000e-02,-3.893333e-03,-1.400000e-04
-2.370000e-07,5.733334e-03,2.120000e-02,-4.000000e-03,9.333334e-05
-2.365000e-07,7.333333e-04,2.373333e-02,-4.053333e-03,4.800000e-04
-2.360000e-07,6.666667e-05,2.493333e-02,-3.706667e-03,8.133333e-04
-2.355000e-07,3.666667e-03,2.413333e-02,-2.853333e-03,9.400000e-04
-2.350000e-07,9.733333e-03,2.133333e-02,-1.866667e-03,8.266667e-04
-2.345000e-07,1.540000e-02,1.786667e-02,-1.013333e-03,5.933333e-04
-2.340000e-07,1.873333e-02,1.593333e-02,-4.800000e-04,4.333333e-04
-2.335000e-07,1.873333e-02,1.673333e-02,-3.200000e-04,5.200000e-04
-2.330000e-07,1.593333e-02,2.040000e-02,-4.266667e-04,8.400000e-04
-2.325000e-07,1.233333e-02,2.440000e-02,-6.666667e-04,1.240000e-03
-2.320000e-07,9.733333e-03,2.693333e-02,-7.733333e-04,1.533333e-03
-2.315000e-07,9.066666e-03,2.633333e-02,-7.200000e-04,1.600000e-03
-2.310000e-07,9.600000e-03,2.300000e-02,-8.266667e-04,1.413333e-03
-2.305000e-07,1.053333e-02,1.873333e-02,-1.280000e-03,1.113333e-03
-2.300000e-07,1.100000e-02,1.606667e-02,-2.106667e-03,8.533333e-04
-2.295000e-07,1.100000e-02,1.673333e-02,-3.360000e-03,7.800000e-04
-2.290000e-07,1.040000e-02,2.106667e-02,-4.986667e-03,9.133333e-04
-2.285000e-07,1.040000e-02,2.646667e-02,-6.773334e-03,1.086667e-03
-2.280000e-07,1.153333e-02,3.053333e-02,-8.373333e-03,1.100000e-03
-2.275000e-07,1.320000e-02,3.146667e-02,-9.466667e-03,8.800000e-04
-2.270000e-07,1.446667e-02,2.913333e-02,-9.946667e-03,4.333333e-04
-2.265000e-07,1.400000e-02,2.513333e-02,-9.546666e-03,-4.000000e-05
-2.260000e-07,1.166667e-02,2.206667e-02,-8.266667e-03,-3.400000e-04
-2.255000e-07,8.200000e-03,2.193333e-02,-6.426667e-03,-3.000000e-04
