Time(s),CH1V,CH2V
-3.710000e-07,3.066667e-04,-5.773333e-04
-3.700000e-07,2.006667e-04,-5.400000e-04
-3.690000e-07,-1.333333e-05,-7.333333e-04
-3.680000e-07,-1.040000e-04,-1.070667e-03
-3.670000e-07,-4.066667e-05,-1.141333e-03
-3.660000e-07,9.333333e-06,-8.613333e-04
-3.650000e-07,-1.800000e-05,-5.400000e-04
-3.640000e-07,-1.333333e-05,-3.960000e-04
-3.630000e-07,7.133334e-05,-3.960000e-04
-3.620000e-07,1.580000e-04,-4.013333e-04
-3.610000e-07,1.806667e-04,-3.626667e-04
-3.600000e-07,1.406667e-04,-3.413333e-04
-3.590000e-07,8.000000e-05,-4.813333e-04
-3.580000e-07,3.066667e-05,-8.400000e-04
-3.570000e-07,4.666666e-06,-1.301333e-03
-3.560000e-07,-1.066667e-05,-1.590667e-03
-3.550000e-07,-1.933333e-05,-1.478667e-03
-3.540000e-07,-3.333333e-06,-1.086667e-03
-3.530000e-07,4.466667e-05,-7.653334e-04
-3.520000e-07,1.066667e-04,-6.146667e-04
-3.510000e-07,1.646667e-04,-4.920000e-04
-3.500000e-07,2.033333e-04,-4.013333e-04
-3.490000e-07,1.893333e-04,-5.293333e-04
-3.480000e-07,1.066667e-04,-8.666667e-04
-3.470000e-07,2.466667e-05,-1.141333e-03
-3.460000e-07,4.333333e-05,-1.157333e-03
-3.450000e-07,1.440000e-04,-9.426667e-04
-3.440000e-07,2.133333e-04,-6.040000e-04
-3.430000e-07,2.060000e-04,-2.720000e-04
-3.420000e-07,1.746667e-04,-8.933333e-05
-3.410000e-07,1.666667e-04,-1.440000e-04
-3.400000e-07,1.666667e-04,-3.626667e-04
-3.390000e-07,1.646667e-04,-5.666667e-04
-3.380000e-07,1.693333e-04,-7.440000e-04
-3.370000e-07,1.760000e-04,-9.853333e-04
-3.360000e-07,1.746667e-04,-1.130667e-03
-3.350000e-07,1.480000e-04,-9.160000e-04
-3.340000e-07,9.133334e-05,-5.026667e-04
-3.330000e-07,7.000000e-05,-3.746667e-04
-3.320000e-07,1.520000e-04,-4.813333e-04
-3.310000e-07,2.640000e-04,-3.960000e-04
-3.300000e-07,2.526667e-04,-3.040000e-04
-3.290000e-07,1.266667e-04,-8.240000e-04
-3.280000e-07,5.000000e-05,-1.693333e-03
-3.270000e-07,4.000000e-05,-1.918667e-03
-3.260000e-07,-2.200000e-05,-1.372000e-03
-3.250000e-07,-8.866667e-05,-8.666667e-04
-3.240000e-07,1.733333e-05,-5.986667e-04
-3.230000e-07,2.160000e-04,-7.866666e-05
-3.220000e-07,2.326667e-04,4.146667e-04
-3.210000e-07,9.000000e-05,-4.000000e-06
-3.200000e-07,7.000000e-05,-1.076000e-03
-3.190000e-07,2.033333e-04,-1.590667e-03
-3.180000e-07,2.373333e-04,-1.338667e-03
-3.170000e-07,1.126667e-04,-1.178667e-03
-3.160000e-07,2.466667e-05,-1.280000e-03
-3.150000e-07,5.133333e-05,-9.586667e-04
-3.140000e-07,8.733333e-05,-2.400000e-04
-3.130000e-07,7.733333e-05,5.466667e-05
-3.120000e-07,8.733333e-05,-2.453333e-04
-3.110000e-07,1.593333e-04,-5.453333e-04
-3.100000e-07,2.586667e-04,-7.013333e-04
-3.090000e-07,2.653333e-04,-1.097333e-03
-3.080000e-07,9.266667e-05,-1.601333e-03
-3.070000e-07,-1.326667e-04,-1.553333e-03
-3.060000e-07,-1.780000e-04,-9.106667e-04
-3.050000e-07,-6.000000e-05,-2.773333e-04
-3.040000e-07,-5.333333e-06,5.466667e-05
-3.030000e-07,-3.333333e-05,2.693333e-04
-3.020000e-07,4.866666e-05,2.320000e-04
-3.010000e-07,2.653333e-04,-3.800000e-04
-3.000000e-07,4.073333e-04,-1.242667e-03
-2.990000e-07,3.520000e-04,-1.558667e-03
-2.980000e-07,1.733333e-04,-1.296000e-03
-2.970000e-07,3.066667e-05,-1.092000e-03
-2.960000e-07,2.066667e-05,-9.640000e-04
-2.950000e-07,1.040000e-04,-3.466667e-04
-2.940000e-07,1.646667e-04,4.626667e-04
-2.930000e-07,1.646667e-04,4.680000e-04
-2.920000e-07,1.780000e-04,-3.200000e-04
-2.910000e-07,2.260000e-04,-9.106667e-04
-2.900000e-07,2.486667e-04,-1.070667e-03
-2.890000e-07,1.906667e-04,-1.425333e-03
-2.880000e-07,6.466667e-05,-1.886667e-03
-2.870000e-07,-4.466667e-05,-1.645333e-03
-2.860000e-07,-4.733333e-05,-6.640000e-04
-2.850000e-07,9.333333e-06,1.786667e-04
-2.840000e-07,1.066667e-05,3.760000e-04
-2.830000e-07,1.466667e-05,1.626667e-04
-2.820000e-07,1.820000e-04,-2.773333e-04
-2.810000e-07,4.046667e-04,-9.746667e-04
-2.800000e-07,3.913333e-04,-1.656000e-03
-2.790000e-07,1.493333e-04,-1.881333e-03
-2.780000e-07,-1.666667e-05,-1.580000e-03
-2.770000e-07,-8.000000e-06,-1.076000e-03
-2.760000e-07,4.666666e-06,-6.266666e-04
