Time(s),CH1V,CH2V,CH3V
-3.520000e-08,-1.546667e-03,-3.973333e-03,-4.034667e-02
-3.515000e-08,-8.533333e-04,-3.760000e-03,-4.176000e-02
-3.510000e-08,2.666667e-05,-3.653333e-03,-4.282667e-02
-3.505000e-08,9.600000e-04,-3.653333e-03,-4.354667e-02
-3.500000e-08,1.680000e-03,-3.520000e-03,-4.389333e-02
-3.495000e-08,2.506667e-03,-3.493333e-03,-4.373333e-02
-3.490000e-08,3.226667e-03,-3.333333e-03,-4.333333e-02
-3.485000e-08,3.866667e-03,-3.280000e-03,-4.248000e-02
-3.480000e-08,4.373333e-03,-3.226667e-03,-4.109333e-02
-3.475000e-08,4.933333e-03,-3.173333e-03,-3.954666e-02
-3.470000e-08,5.280000e-03,-3.040000e-03,-3.749333e-02
-3.465000e-08,5.680000e-03,-3.093333e-03,-3.517333e-02
-3.460000e-08,5.866667e-03,-3.013333e-03,-3.250667e-02
-3.455000e-08,5.893333e-03,-2.826667e-03,-2.965333e-02
-3.450000e-08,5.920000e-03,-2.826667e-03,-2.642667e-02
-3.445000e-08,5.786667e-03,-2.693333e-03,-2.304000e-02
-3.440000e-08,5.680000e-03,-2.533333e-03,-1.938667e-02
-3.435000e-08,5.360000e-03,-2.400000e-03,-1.560000e-02
-3.430000e-08,4.960000e-03,-2.320000e-03,-1.176000e-02
-3.425000e-08,4.453333e-03,-2.106667e-03,-7.760000e-03
-3.420000e-08,3.973333e-03,-1.946667e-03,-3.786667e-03
-3.415000e-08,3.226667e-03,-1.653333e-03,2.666667e-04
-3.410000e-08,2.560000e-03,-1.413333e-03,4.213333e-03
-3.405000e-08,1.946667e-03,-1.253333e-03,8.080000e-03
-3.400000e-08,1.146667e-03,-9.600000e-04,1.178667e-02
-3.395000e-08,4.000000e-04,-6.933333e-04,1.541333e-02
-3.390000e-08,-3.733333e-04,-3.200000e-04,1.866667e-02
-3.385000e-08,-1.146667e-03,-5.333333e-05,2.178667e-02
-3.380000e-08,-2.000000e-03,2.666667e-04,2.469333e-02
-3.375000e-08,-2.720000e-03,5.066667e-04,2.717333e-02
-3.370000e-08,-3.466667e-03,8.800000e-04,2.938667e-02
-3.365000e-08,-4.053333e-03,1.013333e-03,3.117333e-02
-3.360000e-08,-4.666667e-03,1.253333e-03,3.258667e-02
-3.355000e-08,-5.306667e-03,1.626667e-03,3.354667e-02
-3.350000e-08,-5.760000e-03,1.760000e-03,3.418666e-02
-3.345000e-08,-6.266667e-03,2.000000e-03,3.434667e-02
-3.340000e-08,-6.586667e-03,2.133333e-03,3.416000e-02
-3.335000e-08,-6.906667e-03,2.266667e-03,3.349333e-02
-3.330000e-08,-7.173333e-03,2.266667e-03,3.234667e-02
-3.325000e-08,-7.413333e-03,2.346667e-03,3.088000e-02
-3.320000e-08,-7.493333e-03,2.293333e-03,2.898667e-02
-3.315000e-08,-7.680000e-03,2.346667e-03,2.682667e-02
-3.310000e-08,-7.733333e-03,2.266667e-03,2.426667e-02
-3.305000e-08,-7.626667e-03,2.106667e-03,2.138667e-02
-3.300000e-08,-7.653333e-03,1.973333e-03,1.818667e-02
-3.295000e-08,-7.546667e-03,1.733333e-03,1.485333e-02
-3.290000e-08,-7.440000e-03,1.600000e-03,1.117333e-02
-3.285000e-08,-7.306667e-03,1.333333e-03,7.413333e-03
-3.280000e-08,-7.253333e-03,1.066667e-03,3.680000e-03
-3.275000e-08,-7.013333e-03,6.933333e-04,-3.200000e-04
-3.270000e-08,-6.880000e-03,4.533333e-04,-4.240000e-03
-3.265000e-08,-6.613333e-03,-2.666667e-05,-8.160000e-03
-3.260000e-08,-6.426667e-03,-4.266667e-04,-1.202667e-02
-3.255000e-08,-6.320000e-03,-6.666667e-04,-1.581333e-02
-3.250000e-08,-6.080000e-03,-1.146667e-03,-1.941333e-02
-3.245000e-08,-5.946666e-03,-1.466667e-03,-2.285333e-02
-3.240000e-08,-5.653333e-03,-1.866667e-03,-2.597333e-02
-3.235000e-08,-5.493333e-03,-2.266667e-03,-2.888000e-02
-3.230000e-08,-5.333333e-03,-2.720000e-03,-3.157333e-02
-3.225000e-08,-5.173333e-03,-3.013333e-03,-3.386667e-02
-3.220000e-08,-4.933333e-03,-3.386667e-03,-3.584000e-02
-3.215000e-08,-4.906666e-03,-3.600000e-03,-3.738667e-02
-3.210000e-08,-4.746667e-03,-3.893333e-03,-3.861333e-02
-3.205000e-08,-4.426667e-03,-4.186667e-03,-3.946667e-02
-3.200000e-08,-4.346667e-03,-4.373333e-03,-3.992000e-02
-3.195000e-08,-4.160000e-03,-4.560000e-03,-3.989333e-02
-3.190000e-08,-3.946667e-03,-4.560000e-03,-3.965333e-02
-3.185000e-08,-3.786667e-03,-4.613333e-03,-3.890667e-02
-3.180000e-08,-3.680000e-03,-4.613333e-03,-3.765333e-02
-3.175000e-08,-3.466667e-03,-4.586667e-03,-3.624000e-02
-3.170000e-08,-3.280000e-03,-4.400000e-03,-3.437333e-02
-3.165000e-08,-2.986667e-03,-4.293333e-03,-3.218667e-02
-3.160000e-08,-2.773333e-03,-4.026667e-03,-2.970667e-02
-3.155000e-08,-2.613333e-03,-3.573333e-03,-2.701333e-02
-3.150000e-08,-2.346667e-03,-3.253333e-03,-2.397333e-02
-3.145000e-08,-2.133333e-03,-2.746667e-03,-2.077333e-02
-3.140000e-08,-1.786667e-03,-2.186667e-03,-1.730667e-02
-3.135000e-08,-1.546667e-03,-1.573333e-03,-1.376000e-02
-3.130000e-08,-1.280000e-03,-9.866667e-04,-1.013333e-02
-3.125000e-08,-1.093333e-03,-1.866667e-04,-6.400000e-03
-3.120000e-08,-7.466667e-04,5.600000e-04,-2.640000e-03
-3.115000e-08,-6.400000e-04,1.493333e-03,1.146667e-03
-3.110000e-08,-4.266667e-04,2.346667e-03,4.880000e-03
-3.105000e-08,-8.000000e-05,3.173333e-03,8.480000e-03
-3.100000e-08,5.333333e-05,4.106666e-03,1.194667e-02
-3.095000e-08,2.666667e-04,4.986667e-03,1.533333e-02
-3.090000e-08,4.000000e-04,5.946666e-03,1.837333e-02
-3.085000e-08,5.866667e-04,6.800000e-03,2.128000e-02
-3.080000e-08,6.133333e-04,7.626667e-03,2.400000e-02
-3.075000e-08,7.466667e-04,8.346667e-03,2.629333e-02
-3.070000e-08,7.733333e-04,9.120000e-03,2.834667e-02
-3.065000e-08,9.066667e-04,9.573333e-03,3.005333e-02
-3.060000e-08,9.066667e-04,1.005333e-02,3.136000e-02
-3.055000e-08,8.266667e-04,1.048000e-02,3.226667e-02
-3.050000e-08,8.266667e-04,1.064000e-02,3.288000e-02
-3.045000e-08,7.466667e-04,1.074667e-02,3.301333e-02
-3.040000e-08,7.200000e-04,1.064000e-02,3.285333e-02
-3.035000e-08,6.133333e-04,1.037333e-02,3.224000e-02
-3.030000e-08,5.066667e-04,9.866667e-03,3.117333e-02
-3.025000e-08,2.933333e-04,9.333333e-03,2.981333e-02
-3.020000e-08,1.866667e-04,8.560000e-03,2.805333e-02
-3.015000e-08,-1.066667e-04,7.733333e-03,2.602667e-02
-3.010000e-08,-3.200000e-04,6.693333e-03,2.362667e-02
-3.005000e-08,-4.266667e-04,5.440000e-03,2.090667e-02
-3.000000e-08,-7.200000e-04,4.186667e-03,1.789333e-02
-2.995000e-08,-9.066667e-04,2.773333e-03,1.472000e-02
-2.990000e-08,-1.146667e-03,1.440000e-03,1.120000e-02
-2.985000e-08,-1.386667e-03,0.000000e+00,7.600000e-03
-2.980000e-08,-1.706667e-03,-1.440000e-03,3.946667e-03
-2.975000e-08,-1.893333e-03,-2.906667e-03,2.666667e-05
-2.970000e-08,-2.186667e-03,-4.160000e-03,-3.786667e-03
-2.965000e-08,-2.320000e-03,-5.520000e-03,-7.706667e-03
-2.960000e-08,-2.533333e-03,-6.613333e-03,-1.157333e-02
-2.955000e-08,-2.826667e-03,-7.440000e-03,-1.546667e-02
-2.950000e-08,-2.960000e-03,-8.240000e-03,-1.912000e-02
-2.945000e-08,-3.173333e-03,-8.693334e-03,-2.269333e-02
-2.940000e-08,-3.226667e-03,-8.906666e-03,-2.600000e-02
-2.935000e-08,-3.386667e-03,-8.880000e-03,-2.917333e-02
-2.930000e-08,-3.493333e-03,-8.640000e-03,-3.216000e-02
-2.925000e-08,-3.600000e-03,-7.973333e-03,-3.474667e-02
-2.920000e-08,-3.573333e-03,-7.066667e-03,-3.709333e-02
-2.915000e-08,-3.733333e-03,-5.786667e-03,-3.904000e-02
-2.910000e-08,-3.733333e-03,-4.266667e-03,-4.069333e-02
-2.905000e-08,-3.600000e-03,-2.560000e-03,-4.197333e-02
-2.900000e-08,-3.626667e-03,-5.600000e-04,-4.293333e-02
-2.895000e-08,-3.520000e-03,1.600000e-03,-4.336000e-02
-2.890000e-08,-3.413333e-03,4.026667e-03,-4.360000e-02
-2.885000e-08,-3.280000e-03,6.506667e-03,-4.330667e-02
-2.880000e-08,-3.200000e-03,9.040000e-03,-4.256000e-02
-2.875000e-08,-2.986667e-03,1.152000e-02,-4.154667e-02
-2.870000e-08,-2.826667e-03,1.413333e-02,-4.008000e-02
-2.865000e-08,-2.506667e-03,1.642667e-02,-3.829333e-02
-2.860000e-08,-2.293333e-03,1.864000e-02,-3.613333e-02
-2.855000e-08,-2.106667e-03,2.074667e-02,-3.373333e-02
-2.850000e-08,-1.786667e-03,2.240000e-02,-3.090667e-02
-2.845000e-08,-1.546667e-03,2.386667e-02,-2.786667e-02
-2.840000e-08,-1.146667e-03,2.490667e-02,-2.453333e-02
-2.835000e-08,-8.800000e-04,2.554667e-02,-2.098667e-02
-2.830000e-08,-5.600000e-04,2.568000e-02,-1.738667e-02
-2.825000e-08,-2.933333e-04,2.552000e-02,-1.352000e-02
-2.820000e-08,8.000000e-05,2.477333e-02,-9.600000e-03
-2.815000e-08,2.400000e-04,2.368000e-02,-5.573333e-03
-2.810000e-08,5.333333e-04,2.213333e-02,-1.546667e-03
-2.805000e-08,9.066667e-04,2.005333e-02,2.426667e-03
-2.800000e-08,1.066667e-03,1.770667e-02,6.293333e-03
-2.795000e-08,1.333333e-03,1.498667e-02,1.016000e-02
-2.790000e-08,1.520000e-03,1.213333e-02,1.373333e-02
-2.785000e-08,1.680000e-03,8.986667e-03,1.722667e-02
-2.780000e-08,1.760000e-03,5.733334e-03,2.058667e-02
-2.775000e-08,1.893333e-03,2.373333e-03,2.352000e-02
-2.770000e-08,1.920000e-03,-7.733333e-04,2.626667e-02
-2.765000e-08,2.026667e-03,-4.026667e-03,2.866667e-02
-2.760000e-08,2.026667e-03,-6.933333e-03,3.074667e-02
-2.755000e-08,1.920000e-03,-9.386667e-03,3.237333e-02
-2.750000e-08,1.893333e-03,-1.168000e-02,3.370667e-02
-2.745000e-08,1.706667e-03,-1.338667e-02,3.461333e-02
-2.740000e-08,1.653333e-03,-1.461333e-02,3.517333e-02
-2.735000e-08,1.493333e-03,-1.525333e-02,3.528000e-02
-2.730000e-08,1.306667e-03,-1.533333e-02,3.488000e-02
-2.725000e-08,1.040000e-03,-1.464000e-02,3.421333e-02
-2.720000e-08,8.800000e-04,-1.338667e-02,3.306667e-02
-2.715000e-08,5.333333e-04,-1.141333e-02,3.160000e-02
-2.710000e-08,2.400000e-04,-8.800000e-03,2.973333e-02
-2.705000e-08,8.000000e-05,-5.733334e-03,2.752000e-02
-2.700000e-08,-3.200000e-04,-2.000000e-03,2.496000e-02
-2.695000e-08,-5.600000e-04,2.133333e-03,2.216000e-02
-2.690000e-08,-8.800000e-04,6.746667e-03,1.896000e-02
-2.685000e-08,-1.173333e-03,1.160000e-02,1.565333e-02
-2.680000e-08,-1.546667e-03,1.658667e-02,1.221333e-02
-2.675000e-08,-1.786667e-03,2.162667e-02,8.426666e-03
-2.670000e-08,-2.133333e-03,2.674667e-02,4.640000e-03
-2.665000e-08,-2.293333e-03,3.144000e-02,7.733333e-04
-2.660000e-08,-2.560000e-03,3.597333e-02,-3.146667e-03
-2.655000e-08,-2.880000e-03,4.018667e-02,-7.120000e-03
-2.650000e-08,-3.066667e-03,4.365333e-02,-1.098667e-02
-2.645000e-08,-3.306667e-03,4.658667e-02,-1.480000e-02
-2.640000e-08,-3.466667e-03,4.877333e-02,-1.840000e-02
-2.635000e-08,-3.653333e-03,5.016000e-02,-2.192000e-02
-2.630000e-08,-3.840000e-03,5.058667e-02,-2.530667e-02
-2.625000e-08,-4.080000e-03,5.026667e-02,-2.834667e-02
-2.620000e-08,-4.160000e-03,4.890667e-02,-3.120000e-02
-2.615000e-08,-4.426667e-03,4.674667e-02,-3.370667e-02
-2.610000e-08,-4.640000e-03,4.362667e-02,-3.592000e-02
-2.605000e-08,-4.666667e-03,3.962667e-02,-3.784000e-02
-2.600000e-08,-4.933333e-03,3.493333e-02,-3.938667e-02
-2.595000e-08,-5.066667e-03,2.954667e-02,-4.050667e-02
-2.590000e-08,-5.253333e-03,2.365333e-02,-4.144000e-02
-2.585000e-08,-5.440000e-03,1.730667e-02,-4.186667e-02
-2.580000e-08,-5.733334e-03,1.064000e-02,-4.181333e-02
-2.575000e-08,-5.920000e-03,3.786667e-03,-4.152000e-02
-2.570000e-08,-6.160000e-03,-2.906667e-03,-4.074667e-02
-2.565000e-08,-6.320000e-03,-9.600000e-03,-3.965333e-02
-2.560000e-08,-6.560000e-03,-1.584000e-02,-3.818667e-02
-2.555000e-08,-6.880000e-03,-2.144000e-02,-3.642667e-02
-2.550000e-08,-7.066667e-03,-2.658667e-02,-3.429333e-02
-2.545000e-08,-7.333333e-03,-3.082667e-02,-3.186667e-02
-2.540000e-08,-7.466667e-03,-3.416000e-02,-2.914667e-02
-2.535000e-08,-7.653333e-03,-3.645333e-02,-2.616000e-02
-2.530000e-08,-7.866667e-03,-3.768000e-02,-2.309333e-02
-2.525000e-08,-8.053333e-03,-3.760000e-02,-1.970667e-02
-2.520000e-08,-8.080000e-03,-3.634667e-02,-1.626667e-02
-2.515000e-08,-8.266667e-03,-3.384000e-02,-1.264000e-02
-2.510000e-08,-8.293333e-03,-3.010667e-02,-8.986667e-03
-2.505000e-08,-8.133333e-03,-2.528000e-02,-5.360000e-03
-2.500000e-08,-8.133333e-03,-1.928000e-02,-1.760000e-03
-2.495000e-08,-7.946666e-03,-1.224000e-02,1.893333e-03
-2.490000e-08,-7.680000e-03,-4.293333e-03,5.253333e-03
-2.485000e-08,-7.386667e-03,4.346667e-03,8.586667e-03
-2.480000e-08,-7.066667e-03,1.349333e-02,1.181333e-02
-2.475000e-08,-6.586667e-03,2.301333e-02,1.469333e-02
-2.470000e-08,-6.080000e-03,3.282667e-02,1.741333e-02
-2.465000e-08,-5.360000e-03,4.242667e-02,1.978667e-02
-2.460000e-08,-4.666667e-03,5.189333e-02,2.189333e-02
-2.455000e-08,-3.946667e-03,6.093333e-02,2.354667e-02
-2.450000e-08,-3.093333e-03,6.912000e-02,2.501333e-02
-2.445000e-08,-2.240000e-03,7.645334e-02,2.602667e-02
-2.440000e-08,-1.200000e-03,8.256000e-02,2.672000e-02
-2.435000e-08,-2.133333e-04,8.736000e-02,2.698667e-02
-2.430000e-08,8.000000e-04,9.050667e-02,2.682667e-02
-2.425000e-08,1.813333e-03,9.205333e-02,2.634667e-02
-2.420000e-08,2.933333e-03,9.160000e-02,2.546667e-02
-2.415000e-08,3.840000e-03,8.920000e-02,2.432000e-02
-2.410000e-08,4.826667e-03,8.461333e-02,2.272000e-02
-2.405000e-08,5.946666e-03,7.770666e-02,2.082667e-02
-2.400000e-08,6.773334e-03,6.858667e-02,1.861333e-02
-2.395000e-08,7.706667e-03,5.706667e-02,1.618667e-02
-2.390000e-08,8.506667e-03,4.328000e-02,1.338667e-02
-2.385000e-08,9.226667e-03,2.701333e-02,1.048000e-02
-2.380000e-08,9.786666e-03,8.453334e-03,7.440000e-03
-2.375000e-08,1.034667e-02,-1.248000e-02,4.186667e-03
-2.370000e-08,1.077333e-02,-3.546667e-02,8.800000e-04
-2.365000e-08,1.117333e-02,-6.072000e-02,-2.480000e-03
-2.360000e-08,1.144000e-02,-8.784000e-02,-5.866667e-03
-2.355000e-08,1.149333e-02,-1.167733e-01,-9.280000e-03
-2.350000e-08,1.160000e-02,-1.474933e-01,-1.256000e-02
-2.345000e-08,1.152000e-02,-1.797067e-01,-1.576000e-02
-2.340000e-08,1.149333e-02,-2.132533e-01,-1.874667e-02
-2.335000e-08,1.133333e-02,-2.479733e-01,-2.160000e-02
-2.330000e-08,1.109333e-02,-2.836533e-01,-2.434667e-02
-2.325000e-08,1.082667e-02,-3.200000e-01,-2.674667e-02
-2.320000e-08,1.066667e-02,-3.569067e-01,-2.893333e-02
-2.315000e-08,1.026667e-02,-3.940533e-01,-3.074667e-02
-2.310000e-08,1.000000e-02,-4.312800e-01,-3.232000e-02
-2.305000e-08,9.893334e-03,-4.684533e-01,-3.354667e-02
-2.300000e-08,9.653334e-03,-5.051200e-01,-3.448000e-02
-2.295000e-08,9.573333e-03,-5.412267e-01,-3.496000e-02
-2.290000e-08,9.546666e-03,-5.764000e-01,-3.522667e-02
-2.285000e-08,9.600000e-03,-6.106133e-01,-3.506667e-02
-2.280000e-08,9.680000e-03,-6.435733e-01,-3.445333e-02
-2.275000e-08,1.000000e-02,-6.751466e-01,-3.362667e-02
-2.270000e-08,1.029333e-02,-7.049867e-01,-3.237333e-02
-2.265000e-08,1.080000e-02,-7.331467e-01,-3.080000e-02
-2.260000e-08,1.136000e-02,-7.592800e-01,-2.890667e-02
-2.255000e-08,1.189333e-02,-7.832800e-01,-2.682667e-02
-2.250000e-08,1.261333e-02,-8.052267e-01,-2.432000e-02
-2.245000e-08,1.325333e-02,-8.247733e-01,-2.162667e-02
-2.240000e-08,1.408000e-02,-8.419733e-01,-1.861333e-02
-2.235000e-08,1.482667e-02,-8.567467e-01,-1.549333e-02
-2.230000e-08,1.552000e-02,-8.690934e-01,-1.224000e-02
-2.225000e-08,1.610667e-02,-8.789067e-01,-8.746667e-03
-2.220000e-08,1.674667e-02,-8.864000e-01,-5.253333e-03
-2.215000e-08,1.706667e-02,-8.914400e-01,-1.546667e-03
-2.210000e-08,1.730667e-02,-8.942400e-01,2.080000e-03
-2.205000e-08,1.749333e-02,-8.949066e-01,5.733334e-03
-2.200000e-08,1.728000e-02,-8.934400e-01,9.306666e-03
-2.195000e-08,1.696000e-02,-8.900800e-01,1.290667e-02
-2.190000e-08,1.629333e-02,-8.849334e-01,1.621333e-02
-2.185000e-08,1.538667e-02,-8.782933e-01,1.946667e-02
-2.180000e-08,1.413333e-02,-8.703200e-01,2.266667e-02
-2.175000e-08,1.269333e-02,-8.612800e-01,2.549333e-02
-2.170000e-08,1.090667e-02,-8.512800e-01,2.813333e-02
-2.165000e-08,8.933334e-03,-8.407733e-01,3.053333e-02
-2.160000e-08,6.640000e-03,-8.297867e-01,3.261333e-02
-2.155000e-08,4.053333e-03,-8.185600e-01,3.432000e-02
-2.150000e-08,1.360000e-03,-8.075200e-01,3.578667e-02
-2.145000e-08,-1.546667e-03,-7.967467e-01,3.688000e-02
-2.140000e-08,-4.426667e-03,-7.865067e-01,3.765333e-02
-2.135000e-08,-7.440000e-03,-7.769600e-01,3.805333e-02
-2.130000e-08,-1.048000e-02,-7.683733e-01,3.800000e-02
-2.125000e-08,-1.349333e-02,-7.607200e-01,3.768000e-02
-2.120000e-08,-1.618667e-02,-7.543733e-01,3.696000e-02
-2.115000e-08,-1.893333e-02,-7.491733e-01,3.594667e-02
-2.110000e-08,-2.133333e-02,-7.453867e-01,3.453333e-02
-2.105000e-08,-2.325333e-02,-7.430667e-01,3.280000e-02
-2.100000e-08,-2.504000e-02,-7.420533e-01,3.072000e-02
-2.095000e-08,-2.629333e-02,-7.425067e-01,2.842667e-02
-2.090000e-08,-2.709333e-02,-7.442133e-01,2.570667e-02
-2.085000e-08,-2.741333e-02,-7.472534e-01,2.285333e-02
-2.080000e-08,-2.722667e-02,-7.514933e-01,1.989333e-02
-2.075000e-08,-2.642667e-02,-7.568000e-01,1.658667e-02
-2.070000e-08,-2.517333e-02,-7.630133e-01,1.322667e-02
-2.065000e-08,-2.328000e-02,-7.700533e-01,9.706667e-03
-2.060000e-08,-2.093333e-02,-7.777067e-01,6.133333e-03
-2.055000e-08,-1.821333e-02,-7.856800e-01,2.453333e-03
-2.050000e-08,-1.496000e-02,-7.940000e-01,-1.200000e-03
-2.045000e-08,-1.136000e-02,-8.023733e-01,-4.826667e-03
-2.040000e-08,-7.413333e-03,-8.106667e-01,-8.320000e-03
-2.035000e-08,-3.280000e-03,-8.186933e-01,-1.176000e-02
-2.030000e-08,9.333334e-04,-8.263466e-01,-1.514667e-02
-2.025000e-08,5.200000e-03,-8.333333e-01,-1.829333e-02
-2.020000e-08,9.546666e-03,-8.397067e-01,-2.128000e-02
-2.015000e-08,1.349333e-02,-8.452000e-01,-2.392000e-02
-2.010000e-08,1.733333e-02,-8.498400e-01,-2.640000e-02
-2.005000e-08,2.096000e-02,-8.536000e-01,-2.861333e-02
-2.000000e-08,2.397333e-02,-8.562933e-01,-3.053333e-02
-1.995000e-08,2.656000e-02,-8.580000e-01,-3.205333e-02
-1.990000e-08,2.856000e-02,-8.586133e-01,-3.338667e-02
-1.985000e-08,2.992000e-02,-8.583200e-01,-3.424000e-02
-1.980000e-08,3.056000e-02,-8.571200e-01,-3.469333e-02
-1.975000e-08,3.061333e-02,-8.550934e-01,-3.493333e-02
-1.970000e-08,2.986667e-02,-8.521867e-01,-3.469333e-02
-1.965000e-08,2.848000e-02,-8.487200e-01,-3.413333e-02
-1.960000e-08,2.637333e-02,-8.445867e-01,-3.322667e-02
-1.955000e-08,2.357333e-02,-8.399467e-01,-3.202667e-02
-1.950000e-08,2.024000e-02,-8.350933e-01,-3.037333e-02
-1.945000e-08,1.640000e-02,-8.299733e-01,-2.848000e-02
