Time(s),CH1V,CH2V
-1.905000e-07,-1.373333e-02,-6.866667e-03
-1.900000e-07,-1.126667e-02,-1.053333e-02
-1.895000e-07,-2.666667e-04,-8.000000e-04
-1.890000e-07,1.133333e-03,3.733333e-03
-1.885000e-07,-4.266667e-03,-7.666667e-03
-1.880000e-07,-5.400000e-03,-1.186667e-02
-1.875000e-07,-6.000000e-03,-7.000000e-03
-1.870000e-07,-1.226667e-02,-4.733333e-03
-1.865000e-07,-1.533333e-02,-7.200000e-03
-1.860000e-07,-7.333334e-03,-8.133333e-03
-1.855000e-07,2.933333e-03,9.333334e-04
-1.850000e-07,4.666667e-03,2.266667e-03
-1.845000e-07,6.000000e-04,1.000000e-03
-1.840000e-07,-8.133333e-03,7.933334e-03
-1.835000e-07,-1.066667e-02,7.200000e-03
-1.830000e-07,-3.600000e-03,1.466667e-03
-1.825000e-07,-8.800000e-03,-8.800000e-03
-1.820000e-07,-1.120000e-02,-1.120000e-02
-1.815000e-07,7.333333e-04,3.333333e-03
-1.810000e-07,3.200000e-03,3.066667e-03
-1.805000e-07,-7.733333e-03,-6.666667e-03
-1.800000e-07,-1.333333e-02,-5.266667e-03
-1.795000e-07,-7.533333e-03,-8.666667e-04
-1.790000e-07,-5.666667e-03,-3.000000e-03
-1.785000e-07,-1.206667e-02,-1.660000e-02
-1.780000e-07,-1.500000e-02,-1.553333e-02
-1.775000e-07,-5.066667e-03,-4.666667e-04
-1.770000e-07,7.266667e-03,-1.000000e-03
-1.765000e-07,3.866667e-03,-2.000000e-03
-1.760000e-07,-4.266667e-03,2.133333e-03
-1.755000e-07,1.333333e-04,9.333334e-04
-1.750000e-07,1.666667e-03,-1.600000e-03
-1.745000e-07,-1.013333e-02,-6.333333e-03
-1.740000e-07,-1.133333e-02,-3.200000e-03
-1.735000e-07,-4.000000e-04,5.333333e-04
-1.730000e-07,4.333334e-03,-8.066666e-03
-1.725000e-07,-4.266667e-03,-1.080000e-02
-1.720000e-07,-1.453333e-02,-6.733333e-03
-1.715000e-07,-7.800000e-03,-7.866667e-03
-1.710000e-07,-8.666667e-04,-5.466667e-03
-1.705000e-07,-8.800000e-03,-2.600000e-03
-1.700000e-07,-8.800000e-03,-4.666667e-03
-1.695000e-07,8.666667e-04,-2.000000e-03
-1.690000e-07,-3.666667e-03,-2.333333e-03
-1.685000e-07,-1.213333e-02,-7.533333e-03
-1.680000e-07,-8.400000e-03,-3.666667e-03
-1.675000e-07,-4.533333e-03,8.666667e-04
-1.670000e-07,-8.466667e-03,-2.466667e-03
-1.665000e-07,-1.333333e-02,-5.466667e-03
-1.660000e-07,-1.413333e-02,-1.066667e-03
-1.655000e-07,-7.866667e-03,6.400000e-03
-1.650000e-07,-2.866667e-03,2.666667e-03
-1.645000e-07,-7.800000e-03,-4.266667e-03
-1.640000e-07,-1.026667e-02,-3.866667e-03
-1.635000e-07,-3.933333e-03,-2.000000e-04
-1.630000e-07,-2.666667e-04,-1.466667e-03
-1.625000e-07,-7.666667e-03,-1.013333e-02
-1.620000e-07,-1.200000e-02,-2.933333e-03
-1.615000e-07,-3.466667e-03,7.800000e-03
-1.610000e-07,3.466667e-03,-3.066667e-03
-1.605000e-07,-9.333334e-04,-1.246667e-02
-1.600000e-07,-6.933333e-03,-1.133333e-02
-1.595000e-07,-4.133333e-03,-3.933333e-03
-1.590000e-07,-7.400000e-03,-6.666667e-05
-1.585000e-07,-1.333333e-02,-9.333333e-03
-1.580000e-07,-6.600000e-03,-8.133333e-03
-1.575000e-07,-5.600000e-03,4.333334e-03
-1.570000e-07,-6.533334e-03,5.133334e-03
-1.565000e-07,-1.133333e-03,-4.333334e-03
-1.560000e-07,-3.333333e-03,-1.006667e-02
-1.555000e-07,-2.133333e-03,2.666667e-04
-1.550000e-07,4.800000e-03,5.200000e-03
-1.545000e-07,-5.800000e-03,-1.160000e-02
-1.540000e-07,-1.093333e-02,-1.073333e-02
-1.535000e-07,5.066667e-03,6.800000e-03
-1.530000e-07,1.466667e-03,3.333333e-03
-1.525000e-07,-9.533334e-03,-1.106667e-02
-1.520000e-07,-4.866667e-03,-1.006667e-02
-1.515000e-07,4.000000e-04,-2.000000e-04
-1.510000e-07,3.266667e-03,-1.800000e-03
-1.505000e-07,-1.200000e-03,-1.313333e-02
-1.500000e-07,-9.533334e-03,-1.366667e-02
-1.495000e-07,-8.666667e-03,2.066667e-03
-1.490000e-07,-6.866667e-03,7.600000e-03
-1.485000e-07,-9.933334e-03,-6.733333e-03
-1.480000e-07,-5.333333e-03,-1.046667e-02
-1.475000e-07,2.000000e-04,-1.666667e-03
-1.470000e-07,-1.933333e-03,-2.866667e-03
-1.465000e-07,-6.466667e-03,-6.000000e-03
-1.460000e-07,-8.533333e-03,-3.733333e-03
-1.455000e-07,-1.533333e-03,-4.000000e-04
-1.450000e-07,-6.666667e-05,3.400000e-03
-1.445000e-07,-6.400000e-03,-3.333333e-04
-1.440000e-07,-4.666667e-03,-3.133333e-03
-1.435000e-07,-2.600000e-03,-1.400000e-03
-1.430000e-07,-7.333333e-04,-2.800000e-03
-1.425000e-07,-2.866667e-03,-1.213333e-02
-1.420000e-07,-1.066667e-02,-1.553333e-02
-1.415000e-07,-4.733333e-03,-1.000000e-03
-1.410000e-07,-1.066667e-03,1.866667e-03
-1.405000e-07,-1.313333e-02,-7.200000e-03
-1.400000e-07,-1.360000e-02,-7.266667e-03
-1.395000e-07,-1.400000e-03,-4.266667e-03
-1.390000e-07,1.266667e-03,-5.200000e-03
-1.385000e-07,-8.800000e-03,-5.466667e-03
-1.380000e-07,-1.040000e-02,-1.733333e-03
-1.375000e-07,6.000000e-04,-1.933333e-03
-1.370000e-07,1.000000e-03,-6.200000e-03
-1.365000e-07,-3.466667e-03,-6.200000e-03
-1.360000e-07,-3.400000e-03,-4.266667e-03
-1.355000e-07,-2.533333e-03,5.333333e-04
-1.350000e-07,-2.000000e-04,-1.133333e-03
-1.345000e-07,-3.600000e-03,-1.433333e-02
-1.340000e-07,-8.600000e-03,-1.260000e-02
-1.335000e-07,-6.533334e-03,2.666667e-03
-1.330000e-07,-2.800000e-03,2.866667e-03
-1.325000e-07,-5.266667e-03,-4.733333e-03
-1.320000e-07,-1.400000e-02,-5.733334e-03
-1.315000e-07,-1.106667e-02,-1.200000e-03
-1.310000e-07,1.466667e-03,3.266667e-03
-1.305000e-07,-5.066667e-03,-5.466667e-03
-1.300000e-07,-1.180000e-02,-1.080000e-02
-1.295000e-07,-1.333333e-04,1.333333e-03
-1.290000e-07,-1.133333e-03,1.133333e-03
-1.285000e-07,-1.246667e-02,-3.866667e-03
-1.280000e-07,-1.113333e-02,4.000000e-04
-1.275000e-07,-4.266667e-03,-1.333333e-03
-1.270000e-07,-3.533333e-03,-4.533333e-03
-1.265000e-07,-1.040000e-02,-1.166667e-02
-1.260000e-07,-8.000000e-03,-7.066667e-03
-1.255000e-07,4.066667e-03,1.066667e-02
-1.250000e-07,-1.533333e-03,6.200000e-03
-1.245000e-07,-1.006667e-02,-8.666667e-03
-1.240000e-07,-3.533333e-03,-9.266667e-03
-1.235000e-07,-3.066667e-03,-1.133333e-03
-1.230000e-07,-5.066667e-03,-8.666667e-04
-1.225000e-07,-8.466667e-03,-1.066667e-02
-1.220000e-07,-1.293333e-02,-5.933333e-03
-1.215000e-07,-3.600000e-03,4.733333e-03
-1.210000e-07,-6.666667e-04,4.666667e-04
-1.205000e-07,-6.400000e-03,-8.000000e-04
-1.200000e-07,-4.533333e-03,-8.666667e-04
