Time(s),CH1V,CH2V,CH3V,CH4V
-4.250000e-07,-5.866666e-05,8.880000e-04,1.513333e-04,1.273333e-03
-4.240000e-07,1.226667e-04,4.613333e-04,1.973333e-04,1.846667e-03
-4.230000e-07,2.586667e-04,5.680000e-04,1.513333e-04,-4.533333e-04
-4.220000e-07,3.266667e-04,3.120000e-04,-1.440000e-04,2.333333e-04
-4.210000e-07,6.440000e-04,-4.986667e-04,-5.266667e-05,8.133333e-04
-4.200000e-07,6.100000e-04,-1.416000e-03,1.173333e-04,1.273333e-03
-4.190000e-07,1.566667e-04,-2.418667e-03,-1.100000e-04,2.333333e-04
-4.180000e-07,-2.853333e-04,-2.589333e-03,8.333333e-05,-1.133333e-04
-4.170000e-07,-1.266667e-04,-9.253334e-04,1.533333e-05,1.040000e-03
-4.160000e-07,-7.000000e-05,-6.053333e-04,2.653333e-04,1.960000e-03
-4.150000e-07,-2.000000e-06,-8.186667e-04,2.653333e-04,1.040000e-03
-4.140000e-07,3.200000e-05,-2.213333e-04,1.060000e-04,-4.533333e-04
-4.130000e-07,5.306667e-04,-1.360000e-04,-1.213333e-04,1.620000e-03
-4.120000e-07,3.833333e-04,5.040000e-04,-1.326667e-04,1.733333e-03
-4.110000e-07,4.626667e-04,3.546667e-04,-7.333333e-06,3.466667e-04
-4.100000e-07,3.266667e-04,3.333333e-04,2.766667e-04,2.333333e-04
-4.090000e-07,1.793333e-04,7.386667e-04,6.066667e-05,1.273333e-03
-4.080000e-07,-7.000000e-05,8.240000e-04,-1.866667e-05,2.766667e-03
-4.070000e-07,-1.040000e-04,-8.000000e-06,3.800000e-05,6.666667e-06
-4.060000e-07,-1.380000e-04,2.693333e-04,4.000000e-06,2.333333e-04
-4.050000e-07,1.680000e-04,5.253333e-04,8.333333e-05,9.266667e-04
-4.040000e-07,4.173333e-04,9.946667e-04,-1.326667e-04,2.193333e-03
-4.030000e-07,6.100000e-04,8.240000e-04,-2.460000e-04,-4.533333e-04
-4.020000e-07,5.306667e-04,4.186667e-04,2.200000e-04,-1.133333e-04
-4.010000e-07,4.286667e-04,6.533333e-04,-4.133333e-05,5.800000e-04
-4.000000e-07,3.040000e-04,1.165333e-03,-7.333333e-06,1.273333e-03
-3.990000e-07,-1.606667e-04,3.466667e-05,3.800000e-05,5.800000e-04
-3.980000e-07,-3.646667e-04,2.053333e-04,3.220000e-04,1.200000e-04
-3.970000e-07,-1.266667e-04,5.253333e-04,-3.000000e-05,8.133333e-04
-3.960000e-07,-1.380000e-04,7.813333e-04,-7.600000e-05,5.800000e-04
-3.950000e-07,2.020000e-04,3.546667e-04,-1.666667e-04,2.333333e-04
-3.940000e-07,4.286667e-04,9.093334e-04,2.540000e-04,4.666667e-04
-3.930000e-07,5.986667e-04,1.037333e-03,-7.600000e-05,8.133333e-04
-3.920000e-07,4.626667e-04,8.240000e-04,-8.733333e-05,9.266667e-04
-3.910000e-07,3.493333e-04,5.680000e-04,8.333333e-05,2.333333e-04
-3.900000e-07,2.066667e-05,3.760000e-04,4.933333e-05,-1.133333e-04
-3.890000e-07,-1.606667e-04,7.733333e-05,1.973333e-04,1.153333e-03
-3.880000e-07,-1.153333e-04,5.466667e-04,2.666667e-05,1.273333e-03
-3.870000e-07,-2.173333e-04,5.466667e-04,-1.213333e-04,1.040000e-03
-3.860000e-07,1.340000e-04,6.320000e-04,1.533333e-05,1.200000e-04
-3.850000e-07,4.966666e-04,6.746667e-04,4.000000e-06,1.040000e-03
-3.840000e-07,5.080000e-04,8.240000e-04,-3.000000e-05,6.933333e-04
-3.830000e-07,6.100000e-04,4.826667e-04,-6.466667e-05,6.933333e-04
-3.820000e-07,3.606667e-04,4.613333e-04,1.400000e-04,6.666667e-06
-3.810000e-07,2.586667e-04,5.466667e-04,-7.600000e-05,8.133333e-04
-3.800000e-07,-1.833333e-04,9.306667e-04,7.200000e-05,1.040000e-03
-3.790000e-07,-1.606667e-04,3.546667e-04,9.466667e-05,3.466667e-04
-3.780000e-07,-8.133333e-05,3.120000e-04,8.333333e-05,1.200000e-04
-3.770000e-07,9.333333e-06,7.173333e-04,1.173333e-04,4.666667e-04
-3.760000e-07,1.680000e-04,7.600000e-04,-4.133333e-05,1.273333e-03
-3.750000e-07,6.893333e-04,4.613333e-04,-5.266667e-05,-1.133333e-04
-3.740000e-07,5.760000e-04,1.626667e-04,1.400000e-04,1.200000e-04
-3.730000e-07,3.040000e-04,5.893334e-04,1.060000e-04,1.153333e-03
-3.720000e-07,1.340000e-04,8.453333e-04,4.813333e-04,1.386667e-03
-3.710000e-07,-8.133333e-05,6.533333e-04,2.086667e-04,5.800000e-04
-3.700000e-07,-2.400000e-04,6.746667e-04,3.333333e-04,6.666667e-06
